status,class_name,property_name,data_type
Class - NEW,NarrativeContent,,
,,sectionTitle,String
,,sectionNumber,String
,,name,String
,,id,String
,,text,String
Class - DELETED,NarritiveContent,,
,,sectionTitle,String
,,sectionNumber,String
,,name,String
,,contentChildren,List<Content>
,,id,String
,,text,String
,,,
Property - DELETED,BiomedicalConceptCategory,bcCategoryChildren,List<BiomedicalConceptCategory>
Property - DELETED,BiomedicalConceptCategory,bcCategoryMembers,List<BiomedicalConcept>
Property - DELETED,BiomedicalConceptCategory,code,AliasCode
Property - DELETED,Organization,organizationLegalAddress,Address
Property - DELETED,Organization,type,Code
Property - DELETED,Address,country,Code
Property - DELETED,Indication,codes,List<Code>
Property - DELETED,StudyEpoch,nextStudyEpoch,StudyEpoch
Property - DELETED,StudyEpoch,previousStudyEpoch,StudyEpoch
Property - DELETED,StudyEpoch,type,Code
Property - DELETED,StudyProtocolVersion,protocolStatus,Code
Property - DELETED,Estimand,analysisPopulation,AnalysisPopulation
Property - DELETED,Estimand,intercurrentEvents,List<IntercurrentEvent>
Property - DELETED,Estimand,treatment,InvestigationalIntervention
Property - DELETED,Estimand,variableOfInterest,Endpoint
Property - DELETED,StudyArm,dataOriginType,Code
Property - DELETED,StudyArm,type,Code
Property - DELETED,StudyDesignPopulation,plannedSexOfParticipants,List<Code>
Property - DELETED,Activity,activityTimeline,ScheduleTimeline
Property - DELETED,Activity,bcCategories,List<BiomedicalConceptCategory>
Property - DELETED,Activity,bcSurrogates,List<BiomedicalConceptSurrogate>
Property - DELETED,Activity,biomedicalConcepts,List<BiomedicalConcept>
Property - DELETED,Activity,definedProcedures,List<Procedure>
Property - DELETED,Activity,nextActivity,Activity
Property - DELETED,Activity,previousActivity,Activity
Property - DELETED,StudyDesign,activities,List<Activity>
Property - DELETED,StudyDesign,contents,List<Content>
Property - DELETED,StudyDesign,encounters,List<Encounter>
Property - DELETED,StudyDesign,interventionModel,Code
Property - DELETED,StudyDesign,studyArms,List<StudyArm>
Property - DELETED,StudyDesign,studyCells,List<StudyCell>
Property - DELETED,StudyDesign,studyDesignBlindingScheme,AliasCode
Property - DELETED,StudyDesign,studyElements,List<StudyElement>
Property - DELETED,StudyDesign,studyEpochs,List<StudyEpoch>
Property - DELETED,StudyDesign,studyEstimands,List<Estimand>
Property - DELETED,StudyDesign,studyIndications,List<Indication>
Property - DELETED,StudyDesign,studyInvestigationalInterventions,List<InvestigationalIntervention>
Property - DELETED,StudyDesign,studyObjectives,List<Objective>
Property - DELETED,StudyDesign,studyPopulations,List<StudyDesignPopulation>
Property - DELETED,StudyDesign,studyScheduleTimelines,List<ScheduleTimeline>
