Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
MedicalDeviceIdentifier,Added,Super Classes,,,,,Identifier
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Inherited From,,Identifier
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Model Representation,,Relationship
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Data Type,,Organization
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Inherited From,,Identifier
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Data Type,,String
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Data Type,,Code
MedicalDeviceIdentifier,Added,Attributes/Relationships,id,Added,Inherited From,,Identifier
MedicalDeviceIdentifier,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,id,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,id,Added,Data Type,,String
MedicalDeviceIdentifier,Added,Abstract,,,,,False
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Data Type,,Code
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Data Type,,String
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
StudyAmendmentImpact,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,id,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,id,Added,Data Type,,String
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Data Type,,Boolean
StudyAmendmentImpact,Added,Abstract,,,,,False
Duration,Added,Attributes/Relationships,durationWillVary,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,durationWillVary,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,durationWillVary,Added,Data Type,,Boolean
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Data Type,,String
Duration,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,text,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,text,Added,Data Type,,String
Duration,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,id,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,id,Added,Data Type,,String
Duration,Added,Attributes/Relationships,quantity,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,quantity,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,quantity,Added,Data Type,,QuantityRange
Duration,Added,Abstract,,,,,False
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Data Type,,String
MedicalDevice,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
MedicalDevice,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
MedicalDevice,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,id,Added,Cardinality,,1
MedicalDevice,Added,Attributes/Relationships,id,Added,Data Type,,String
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Model Representation,,Relationship
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Data Type,,AdministrableProduct
MedicalDevice,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,name,Added,Cardinality,,1
MedicalDevice,Added,Attributes/Relationships,name,Added,Data Type,,String
MedicalDevice,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,label,Added,Data Type,,String
MedicalDevice,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,description,Added,Data Type,,String
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Data Type,,String
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Model Representation,,Relationship
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Cardinality,,0..*
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Data Type,,MedicalDeviceIdentifier
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Data Type,,Code
MedicalDevice,Added,Abstract,,,,,False
EligibilityCriterionItem,Added,Super Classes,,,,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Model Representation,,Relationship
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Data Type,,SyntaxTemplateDictionary
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Data Type,,String
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Cardinality,,1
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Data Type,,String
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
EligibilityCriterionItem,Added,Attributes/Relationships,id,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,id,Added,Cardinality,,1
EligibilityCriterionItem,Added,Attributes/Relationships,id,Added,Data Type,,String
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Cardinality,,1
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Data Type,,String
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Data Type,,String
EligibilityCriterionItem,Added,Abstract,,,,,False
Abbreviation,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
Abbreviation,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Data Type,,String
Abbreviation,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,id,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,id,Added,Data Type,,String
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Model Representation,,Attribute
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Data Type,,String
Abbreviation,Added,Abstract,,,,,False
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Data Type,,Code
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Data Type,,String
AdministrableProductProperty,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,id,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,id,Added,Data Type,,String
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Data Type,,String
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Model Representation,,Attribute
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Cardinality,,0..1
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Data Type,,Quantity
AdministrableProductProperty,Added,Abstract,,,,,False
QuantityRange,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
QuantityRange,Added,Attributes/Relationships,id,Added,Cardinality,,1
QuantityRange,Added,Attributes/Relationships,id,Added,Data Type,,String
QuantityRange,Added,Abstract,,,,,True
QuantityRange,Added,Sub Classes,,,,,"Quantity, Range"
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Model Representation,,Attribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Cardinality,,1
